datetime, Max, Min, Average
03/16/2017 12, 20.7999992371, 20.1000003815, 20.364999930066674, 
03/16/2017 13, 21.6000003815, 20.5, 21.006666787458336, 
03/16/2017 14, 21.5, 20.7999992371, 21.200000190725, 
03/16/2017 15, 21.2000007629, 20.2000007629, 20.741666666669996, 
03/16/2017 16, 20.7999992371, 20.1000003815, 20.49333321253501, 
03/16/2017 17, 20, 18.2999992371, 19.154999987291664, 
03/16/2017 18, 18.2999992371, 16.8999996185, 17.659999974566666, 
03/16/2017 19, 16.8999996185, 16, 16.471666653956667, 
03/16/2017 20, 16, 15.6999998093, 15.771666622163337, 
03/16/2017 21, 16, 15.1999998093, 15.666666650770003, 
03/16/2017 22, 15.1999998093, 14.5, 14.846666717551658, 
03/16/2017 23, 14.5, 14.3000001907, 14.366666555375, 
03/17/2017 00, 14.3000001907, 13.1999998093, 13.71166663168834, 
03/17/2017 01, 13.3000001907, 12.6999998093, 13.108333381000007, 
03/17/2017 02, 12.6000003815, 11.8999996185, 12.203333346038338, 
03/17/2017 03, 11.8999996185, 11, 11.366666682560004, 
03/17/2017 04, 11, 10.5, 10.76333333651333, 
03/17/2017 05, 10.6000003815, 10.1000003815, 10.299999984118339, 
03/17/2017 06, 10.6999998093, 10.1999998093, 10.39666671751166, 
03/17/2017 07, 12.8999996185, 10.6999998093, 11.556666644413333, 
03/17/2017 08, 15.1999998093, 12.8000001907, 13.878333346048333, 
03/17/2017 09, 17.2000007629, 15.3000001907, 16.220000187553335, 
03/17/2017 10, 19.6000003815, 17.2999992371, 18.604999891915003, 
03/17/2017 11, 21.2000007629, 19.6000003815, 20.366666762038328, 
03/17/2017 12, 21.3999996185, 20.3999996185, 21.018333371473332, 
03/17/2017 13, 21.3999996185, 20.6000003815, 20.961666806531657, 
03/17/2017 14, 21.8999996185, 20.3999996185, 20.906666787458335, 
03/17/2017 15, 20.8999996185, 20.2999992371, 20.551666641233332, 
03/17/2017 16, 20.6000003815, 20, 20.303333314258325, 
03/17/2017 17, 20.1000003815, 19.1000003815, 19.544067803071187, 
03/17/2017 18, 19.1000003815, 13.1000003815, 16.493333466853333, 
03/17/2017 19, 13.8999996185, 12.8999996185, 13.383333158478333, 
