datetime, Max, Min, Average,
08/17/2017 12,28.70000076,27.29999924,27.91000004, 
08/17/2017 13,28.20000076,27.39999962,27.7350002, 
08/17/2017 14,28.29999924,26.60000038,27.38999996, 
08/17/2017 15,27.89999962,26.20000076,27.20333331, 
08/17/2017 16,26.60000038,25.20000076,26.10499989, 
08/17/2017 17,25.10000038,24.60000038,24.84857129, 
08/17/2017 18,24.79999924,24.10000038,24.50500008, 
08/17/2017 19,24.20000076,23.79999924,23.97666658, 
08/17/2017 20,23.79999924,23.79999924,23.79999924, 
08/17/2017 21,23.70000076,23.39999962,23.5, 
08/17/2017 22,23.5,23.20000076,23.32999957, 
08/17/2017 23,23.20000076,23.10000038,23.11500044, 
08/18/2017 00,23.29999924,21.89999962,22.86833359, 
08/18/2017 01,21.89999962,21.5,21.66166687, 
08/18/2017 02,21.79999924,21.60000038,21.70166737, 
08/18/2017 03,21.89999962,21.60000038,21.7833333, 
08/18/2017 04,22.20000076,21.89999962,22.06500025, 
08/18/2017 05,22.20000076,22.10000038,22.11500044, 
08/18/2017 06,22.60000038,22.20000076,22.40499996, 
08/18/2017 07,23.60000038,22.60000038,23.11395344, 
08/18/2017 08,26.60000038,24.29999924,25.29545429, 
08/18/2017 09,27.10000038,26.5,26.75000032, 
08/18/2017 10,28.10000038,26.39999962,27.45714276, 
08/18/2017 11,28.5,26.70000076,27.90166661, 
08/18/2017 12,28.70000076,26.70000076,27.82333339, 
08/18/2017 13,28.79999924,27.70000076,28.2183334, 
08/18/2017 14,28.39999962,27.5,28.03833323, 
08/18/2017 15,27.89999962,26.60000038,27.18166676, 
08/18/2017 16,27.10000038,25.60000038,26.2816666, 
08/18/2017 17,25.60000038,25,25.3200002, 
08/18/2017 18,25,24,24.68166679, 
08/18/2017 19,23.89999962,21.29999924,21.70666653, 
08/18/2017 20,21.70000076,21.20000076,21.47833331, 
08/18/2017 21,21.29999924,21,21.18333375, 
08/18/2017 22,21.20000076,21,21.17391371, 
08/18/2017 23,21.20000076,20.89999962,21.07500029, 
08/19/2017 00,21.20000076,20.89999962,21.06666692, 
08/19/2017 01,21,20.39999962,20.79833317, 
08/19/2017 02,20.89999962,20.29999924,20.62166665, 
08/19/2017 03,21.39999962,20.89999962,21.16833328, 
08/19/2017 04,21.5,21.39999962,21.46166652, 
08/19/2017 05,21.60000038,21.29999924,21.45333316, 
08/19/2017 06,21.60000038,21.29999924,21.38999958, 
08/19/2017 07,22.60000038,21.60000038,21.8476191, 
08/19/2017 08,24,22.60000038,23.1500001, 
08/19/2017 09,25.29999924,23.89999962,24.64166663, 
08/19/2017 10,26.10000038,25.29999924,25.72333349, 
08/19/2017 11,26.29999924,25.5,26.02833363, 
08/19/2017 12,25.79999924,23.39999962,24.29833342, 
08/19/2017 13,24.5,23.89999962,24.23833348, 
08/19/2017 14,25.29999924,23.89999962,24.73666649, 
08/19/2017 15,24.89999962,23.89999962,24.50666656, 
08/19/2017 16,24.29999924,23.89999962,24.04500008, 
08/19/2017 17,24.29999924,23.89999962,24.09069775, 
08/19/2017 18,23.89999962,23.5,23.66724166, 
08/19/2017 19,23.5,23.39999962,23.47333323, 
08/19/2017 20,23.39999962,23,23.18833351, 
08/19/2017 21,23.20000076,23,23.04727291, 
08/19/2017 22,23,22.79999924,22.88113162, 
08/19/2017 23,22.89999962,22.60000038,22.7399999, 
08/20/2017 00,22.70000076,22.39999962,22.58333365, 
08/20/2017 01,22.5,21.79999924,22.16666632, 
08/20/2017 02,22,21.70000076,21.80833324, 
08/20/2017 03,21.89999962,21.70000076,21.77999967, 
08/20/2017 04,21.70000076,21.5,21.63076973, 
08/20/2017 05,21.79999924,21.5,21.70714303, 
08/20/2017 06,22.20000076,21.70000076,21.91607128, 
08/20/2017 07,23.5,22.20000076,22.73555552, 
08/20/2017 08,25,23.29999924,23.98333305, 
08/20/2017 09,27.20000076,25.10000038,26.29333318, 
08/20/2017 10,27.29999924,26.20000076,26.83499975, 
08/20/2017 11,27.5,27,27.22166678, 
08/20/2017 12,28.10000038,26.70000076,27.23499966, 
08/20/2017 13,26.79999924,24.79999924,25.12666648, 
08/20/2017 14,25.20000076,23.79999924,24.69500008, 
08/20/2017 15,24.79999924,23.5,24.04333321, 
