datetime, Max, Min, Average
06/16/2017 09, 24.2000007629, 22.7000007629, 23.466666698448343, 
06/16/2017 10, 26.1000003815, 24.2000007629, 25.06666673024501, 
06/16/2017 11, 26.6000003815, 25.7000007629, 26.134999910975008, 
06/16/2017 12, 27.7999992371, 26.3999996185, 27.14576275065085, 
06/16/2017 13, 26.7999992371, 26.2000007629, 26.62830208831886, 
06/16/2017 14, 27, 24.2000007629, 25.331666723888322, 
06/16/2017 15, 25.3999996185, 23.8999996185, 24.389583428693744, 
06/16/2017 16, 26.2999992371, 25.6000003815, 25.87924532619622, 
06/16/2017 17, 25.6000003815, 24.6000003815, 25.081666692099994, 
06/16/2017 18, 24.7000007629, 24, 24.475000095373332, 
06/16/2017 19, 23.8999996185, 23.5, 23.63166704178332, 
06/16/2017 20, 23.6000003815, 22.8999996185, 23.27999986013999, 
06/16/2017 21, 22.8999996185, 22.5, 22.625000190743325, 
06/16/2017 22, 22.5, 21.6000003815, 21.94500001270165, 
06/16/2017 23, 21.7000007629, 21.1000003815, 21.41166699727332, 
06/17/2017 00, 21.2000007629, 21.1000003815, 21.161702744491492, 
06/17/2017 01, 21.2000007629, 21.1000003815, 21.17931102881724, 
06/17/2017 02, 21.2999992371, 21, 21.15833374658165, 
06/17/2017 03, 21.2000007629, 21.2000007629, 21.2000007629, 
06/17/2017 04, 21.2000007629, 20.7999992371, 21.02333342234002, 
06/17/2017 05, 21, 20.7999992371, 20.898332945481688, 
06/17/2017 06, 22.2999992371, 20.8999996185, 21.488333352405004, 
06/17/2017 07, 22.7000007629, 22.2000007629, 22.46166658402832, 
06/17/2017 08, 24.2000007629, 22.6000003815, 23.39666674932499, 
06/17/2017 09, 25.2999992371, 24.1000003815, 24.435000228886665, 
06/17/2017 10, 27.3999996185, 25.1000003815, 26.21666657130501, 
06/17/2017 11, 27.8999996185, 26.3999996185, 27.25499998727999, 
06/17/2017 12, 28.7000007629, 27.2999992371, 27.945000012711663, 
06/17/2017 13, 28.6000003815, 27.8999996185, 28.285000038147494, 
06/17/2017 15, 27.3999996185, 26.2999992371, 27.000000064650855, 
06/17/2017 16, 27, 25.7999992371, 26.24499972662502, 
06/17/2017 17, 25.7999992371, 25.5, 25.691666825621663, 
06/17/2017 18, 25.7000007629, 25.1000003815, 25.400000076303996, 
06/17/2017 19, 25.1000003815, 24.5, 24.790000057229992, 
06/17/2017 20, 24.5, 23.7999992371, 24.098333009086687, 
06/17/2017 21, 23.7999992371, 23, 23.42166694005499, 
06/17/2017 22, 23, 22.2999992371, 22.631666755670015, 
06/17/2017 23, 22.2999992371, 21.7000007629, 22.08833357492501, 
06/18/2017 00, 21.7000007629, 21.2999992371, 21.47499990463168, 
06/18/2017 01, 21.3999996185, 20.8999996185, 21.185000069925003, 
06/18/2017 02, 20.7999992371, 20.3999996185, 20.588333511356666, 
06/18/2017 03, 20.3999996185, 20.1000003815, 20.286666425073324, 
06/18/2017 04, 20.1000003815, 19.7000007629, 19.849999936404984, 
