"gsid","index_no","station","district","year","month","days","rainfall_sum"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","29","26.3"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","30","4"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","31","0.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","01","1.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","02","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","03","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","06","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","07","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","12","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","17","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","18","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","19","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","20","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","21","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","22","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","24","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","25","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","29","0"
