datetime, Max, Min, Average
11/12/2017 17, 19.7999992371, 18.2000007629, 18.955000114435006, 
11/12/2017 18, 18.2000007629, 17.5, 17.92982466178597, 
11/12/2017 19, 17.6000003815, 16.3999996185, 17.00666675567667, 
11/12/2017 20, 16.3999996185, 15.1999998093, 15.665517231498278, 
11/12/2017 21, 15.1999998093, 14.1999998093, 14.668333323801665, 
11/12/2017 22, 14.1999998093, 13.6999998093, 13.868333307903335, 
11/12/2017 23, 13.6999998093, 12.8000001907, 13.213559328510165, 
11/13/2017 00, 12.8000001907, 12.3000001907, 12.544999933228333, 
11/13/2017 01, 12.3999996185, 12.1000003815, 12.29666652678667, 
11/13/2017 02, 12.1000003815, 11.3999996185, 11.718333387378328, 
11/13/2017 03, 11.5, 10.8999996185, 11.194999949128343, 
11/13/2017 04, 11, 10.3999996185, 10.604999987286678, 
11/13/2017 05, 10.6999998093, 10.3999996185, 10.608333253880005, 
11/13/2017 06, 10.8000001907, 10.3999996185, 10.608333349246667, 
11/13/2017 07, 12.6999998093, 10.8000001907, 11.711666647593335, 
11/13/2017 08, 16.8999996185, 12.8000001907, 15.170000060386668, 
11/13/2017 09, 18.6000003815, 16.5, 17.57666676839, 
11/13/2017 10, 20.5, 18.5, 19.668333339688335, 
11/13/2017 11, 21.7000007629, 20.3999996185, 21.135000101721666, 
11/13/2017 12, 22.7999992371, 21.2999992371, 21.793333307901655, 
11/13/2017 13, 22.6000003815, 21.8999996185, 22.255000114448332, 
11/13/2017 14, 22.6000003815, 21.2000007629, 21.795000012708343, 
11/13/2017 15, 21.7000007629, 20.7999992371, 21.423333199821673, 
11/13/2017 16, 21, 19.2999992371, 20.324999872841673, 
11/13/2017 17, 19.2000007629, 17.7999992371, 18.371666685736674, 
11/13/2017 18, 17.7999992371, 17, 17.406666755681666, 
11/13/2017 19, 17, 15.8000001907, 16.336666663484994, 
11/13/2017 20, 15.8000001907, 14.6999998093, 15.133333365118336, 
11/13/2017 21, 14.6999998093, 13.6000003815, 14.168333355598328, 
11/13/2017 22, 13.6000003815, 13.1999998093, 13.438333447774992, 
11/13/2017 23, 13.1000003815, 12.8999996185, 13.006666692099998, 
11/14/2017 00, 12.8999996185, 12.5, 12.686666838336658, 
11/14/2017 01, 12.6999998093, 12.3000001907, 12.555000098560011, 
11/14/2017 02, 12.3000001907, 11.3999996185, 11.94333335559667, 
11/14/2017 03, 11.3999996185, 10.8000001907, 11.096666606263335, 
11/14/2017 04, 11, 10.6999998093, 10.908333285633326, 
