datetime, Max, Min, Average,
01/08/2018 16,14,12.5,13.43833334, 
01/08/2018 17,12.39999962,10.69999981,11.48499996, 
01/08/2018 18,10.69999981,9.5,10.14067794, 
01/08/2018 19,9.5,8.199999809,8.852542311, 
01/08/2018 20,8.199999809,7.099999905,7.772881395, 
01/08/2018 21,7.099999905,6.199999809,6.63559322, 
01/08/2018 22,6.199999809,5.400000095,5.88499999, 
01/08/2018 23,5.5,4.800000191,5.103333418, 
01/09/2018 00,4.800000191,4,4.371666614, 
01/09/2018 01,4.199999809,3.299999952,3.813333293, 
01/09/2018 02,3.599999905,3.099999905,3.376666669, 
01/09/2018 03,3.200000048,2.700000048,2.996666662, 
01/09/2018 04,3,2.400000095,2.710000022, 
01/09/2018 05,2.400000095,2.099999905,2.18999997, 
